id,genres,keywords,original_language,original_title,overview,popularity,release_date,runtime,spoken_languages,tagline,vote_average,vote_count,cast,director,combined_features
0,"['Action', 'Adventure', 'Fantasy', 'Science', 'Fiction']",culture clash future space war space colony society,en,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",4.05018354130889,2009-12-10 00:00:00,2.441352899352854,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]",Enter the World of Pandora.,0.929847773420182,8.99361650621201,"['Sam', 'Worthington', 'Zoe', 'Saldana', 'Sigourney', 'Weaver', 'Stephen', 'Lang', 'Michelle', 'Rodriguez']",James Cameron,Avatar culture clash future space war space colony society SamWorthingtonZoeSaldanaSigourneyWeaverStephenLangMichelleRodriguez ActionAdventureFantasyScienceFiction
1,"['Adventure', 'Fantasy', 'Action']",ocean drug abuse exotic island east india trading company love of one's life,en,Pirates of the Caribbean: At World's End,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",3.69342593842393,2007-05-19 00:00:00,2.7515914658281333,"[{'iso_639_1': 'en', 'name': 'English'}]","At the end of the world, the adventure begins.",0.6777869393522419,3.083495629212463,"['Johnny', 'Depp', 'Orlando', 'Bloom', 'Keira', 'Knightley', 'Stellan', 'Skarsg\\u00e5rd', 'Chow', 'Yun-fat']",Gore Verbinski,Pirates of the Caribbean: At World's End ocean drug abuse exotic island east india trading company love of one's life JohnnyDeppOrlandoBloomKeiraKnightleyStellanSkarsg\u00e5rdChowYun-fat AdventureFantasyAction
2,"['Action', 'Adventure', 'Crime']",spy based on novel secret agent sequel mi6,en,Spectre,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",2.697271584230121,2015-10-26 00:00:00,1.820875766402296,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",A Plan No One Escapes,0.17366527121636105,3.055969038826438,"['Daniel', 'Craig', 'Christoph', 'Waltz', 'L\\u00e9a', 'Seydoux', 'Ralph', 'Fiennes', 'Monica', 'Bellucci']",Sam Mendes,Spectre spy based on novel secret agent sequel mi6 DanielCraigChristophWaltzL\u00e9aSeydouxRalphFiennesMonicaBellucci ActionAdventureCrime
3,"['Action', 'Crime', 'Drama', 'Thriller']",dc comics crime fighter terrorist secret identity burglar,en,The Dark Knight Rises,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",2.8523591417729666,2012-07-16 00:00:00,2.5743122849851163,"[{'iso_639_1': 'en', 'name': 'English'}]",The Legend Ends,1.2659288855107684,6.8125390209193,"['Christian', 'Bale', 'Michael', 'Caine', 'Gary', 'Oldman', 'Anne', 'Hathaway', 'Tom', 'Hardy']",Christopher Nolan,The Dark Knight Rises dc comics crime fighter terrorist secret identity burglar ChristianBaleMichaelCaineGaryOldmanAnneHathawayTomHardy ActionCrimeDramaThriller
4,"['Action', 'Adventure', 'Science', 'Fiction']",based on novel mars medallion space travel princess,en,John Carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",0.7037645998626768,2012-03-07 00:00:00,1.1117590430302298,"[{'iso_639_1': 'en', 'name': 'English'}]","Lost in our world, found in another.",0.00562471517106743,1.1598727245890488,"['Taylor', 'Kitsch', 'Lynn', 'Collins', 'Samantha', 'Morton', 'Willem', 'Dafoe', 'Thomas', 'Haden', 'Church']",Andrew Stanton,John Carter based on novel mars medallion space travel princess TaylorKitschLynnCollinsSamanthaMortonWillemDafoeThomasHadenChurch ActionAdventureScienceFiction
5,"['Fantasy', 'Action', 'Adventure']",dual identity amnesia sandstorm love of one's life forgiveness,en,Spider-Man 3,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",2.958769844154654,2007-05-01 00:00:00,1.4219976095055087,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]",The battle within.,-0.16241584087422545,2.3354200551922464,"['Tobey', 'Maguire', 'Kirsten', 'Dunst', 'James', 'Franco', 'Thomas', 'Haden', 'Church', 'Topher', 'Grace']",Sam Raimi,Spider-Man 3 dual identity amnesia sandstorm love of one's life forgiveness TobeyMaguireKirstenDunstJamesFrancoThomasHadenChurchTopherGrace FantasyActionAdventure
6,"['Animation', 'Family']",hostage magic horse fairy tale musical,en,Tangled,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",0.8531594746337514,2010-11-24 00:00:00,-0.30647440371390283,"[{'iso_639_1': 'en', 'name': 'English'}]",They're taking adventure to new lengths.,1.0978883294654755,2.1362570776933576,"['Zachary', 'Levi', 'Mandy', 'Moore', 'Donna', 'Murphy', 'Ron', 'Perlman', 'M.C.', 'Gainey']",Byron Howard,Tangled hostage magic horse fairy tale musical ZacharyLeviMandyMooreDonnaMurphyRonPerlmanM.C.Gainey AnimationFamily
7,"['Action', 'Adventure', 'Science', 'Fiction']",marvel comic sequel superhero based on comic book vision,en,Avengers: Age of Ultron,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",3.5425100238580183,2015-04-22 00:00:00,1.510637199927017,"[{'iso_639_1': 'en', 'name': 'English'}]",A New Age Has Come.,1.0138680514428284,4.918871523480678,"['Robert', 'Downey', 'Jr.', 'Chris', 'Hemsworth', 'Mark', 'Ruffalo', 'Chris', 'Evans', 'Scarlett', 'Johansson']",Joss Whedon,Avengers: Age of Ultron marvel comic sequel superhero based on comic book vision RobertDowneyJr.ChrisHemsworthMarkRuffaloChrisEvansScarlettJohansson ActionAdventureScienceFiction
8,"['Adventure', 'Fantasy', 'Family']",witch magic broom school of witchcraft wizardry,en,Harry Potter and the Half-Blood Prince,"As Harry begins his sixth year at Hogwarts, he discovers an old book marked as 'Property of the Half-Blood Prince', and begins to learn more about Lord Voldemort's dark past.",2.430491063388727,2009-07-07 00:00:00,2.0424747424560667,"[{'iso_639_1': 'en', 'name': 'English'}]",Dark Secrets Revealed,1.0978883294654755,3.725512869686523,"['Daniel', 'Radcliffe', 'Rupert', 'Grint', 'Emma', 'Watson', 'Tom', 'Felton', 'Michael', 'Gambon']",David Yates,Harry Potter and the Half-Blood Prince witch magic broom school of witchcraft wizardry DanielRadcliffeRupertGrintEmmaWatsonTomFeltonMichaelGambon AdventureFantasyFamily
9,"['Action', 'Adventure', 'Fantasy']",dc comics vigilante superhero based on comic book revenge,en,Batman v Superman: Dawn of Justice,"Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",4.218363659704955,2016-03-23 00:00:00,1.9538351520345585,"[{'iso_639_1': 'en', 'name': 'English'}]",Justice or revenge,-0.33045639691951906,5.1107480505832665,"['Ben', 'Affleck', 'Henry', 'Cavill', 'Gal', 'Gadot', 'Amy', 'Adams', 'Jesse', 'Eisenberg']",Zack Snyder,Batman v Superman: Dawn of Justice dc comics vigilante superhero based on comic book revenge BenAffleckHenryCavillGalGadotAmyAdamsJesseEisenberg ActionAdventureFantasy
